Country,EdLevel,YearsCodePro,Employment,Salary
13,1,1,2,155000.0
12,4,7,2,26384.0
13,7,6,2,4500000.0
13,1,10,2,206000.0
13,1,5,2,8000000.0
10,4,15,2,49056.0
13,1,3,2,45000.0
13,1,2,2,130000.0
13,4,10,2,230000.0
13,1,12,2,155000.0
8,5,5,2,38392.0
12,3,19,2,138203.0
8,7,24,2,74651.0
12,1,4,2,75384.0
2,4,10,2,74180.0
13,1,4,2,130000.0
8,3,12,2,194303.0
12,1,24,2,81666.0
13,1,1,2,80000.0
8,1,15,2,53322.0
3,1,20,0,44796.0
3,1,20,1,44796.0
3,1,20,4,44796.0
8,1,21,2,56897.0
13,1,4,2,240000.0
4,7,1,2,44790.0
13,3,0,2,100000.0
13,1,7,2,75000.0
8,1,3,2,43512.0
7,1,4,3,51192.0
11,3,10,2,68256.0
13,3,3,2,120000.0
13,1,20,2,160000.0
8,1,3,2,45899.0
13,2,32,2,175000.0
8,1,5,2,75684.0
13,1,11,2,150000.0
11,4,7,2,60948.0
13,4,14,2,120000.0
13,3,20,2,210000.0
13,2,40,2,350000.0
13,1,4,2,109000.0
13,1,4,2,70000.0
13,0,13,2,150000.0
13,1,5,2,100000.0
1,1,19,2,74784.0
8,1,2,2,13560.0
6,7,1,2,14460.0
4,1,1,0,153564.0
4,1,1,1,153564.0
4,1,1,4,153564.0
13,1,15,2,96000.0
13,4,2,2,52800.0
12,1,10,2,50256.0
13,1,22,2,160000.0
8,1,6,2,42228.0
13,1,9,2,124000.0
12,3,12,2,125639.0
3,3,5,2,44790.0
13,1,20,2,205000.0
8,7,14,2,53748.0
7,1,6,2,54384.0
13,4,4,2,100000.0
8,3,0,0,69318.0
8,3,0,1,69318.0
8,3,0,4,69318.0
4,7,2,0,21504.0
4,7,2,1,21504.0
4,7,2,4,21504.0
4,7,2,3,21504.0
12,1,9,2,55281.0
3,3,5,2,52255.0
8,1,4,2,111204.0
12,1,7,2,56538.0
13,1,1,2,76000.0
13,1,8,2,115000.0
13,0,8,2,200000.0
8,1,5,2,252000.0
8,1,5,0,252000.0
8,1,5,1,252000.0
8,1,5,4,252000.0
8,3,2,2,103248.0
4,0,3,2,40956.0
13,1,12,2,86000.0
13,1,5,2,165000.0
13,1,9,0,350000.0
13,1,9,1,350000.0
13,1,9,4,350000.0
8,1,23,2,92780.0
13,4,0,2,160000.0
13,3,5,2,145000.0
13,0,6,2,80000.0
10,4,6,2,31993.0
13,1,3,2,96300.0
12,1,31,0,62820.0
12,1,31,1,62820.0
12,1,31,4,62820.0
4,1,1,2,57588.0
13,4,1,2,55000.0
12,1,12,2,126142.0
13,1,4,2,158000.0
13,1,9,2,350000.0
13,2,5,2,90000.0
10,1,10,2,25594.0
10,4,0,2,21329.0
13,1,6,2,150000.0
4,2,25,2,127972.0
4,2,25,0,127972.0
4,2,25,1,127972.0
4,2,25,4,127972.0
12,3,4,2,87948.0
11,3,7,2,92436.0
13,4,1,2,75000.0
8,1,9,2,150660.0
12,1,22,2,108050.0
3,1,5,2,36259.0
2,1,1,2,89016.0
13,4,8,2,120000.0
12,1,3,2,100511.0
13,3,6,2,140000.0
7,1,2,2,42228.0
13,3,11,2,320000.0
0,1,19,2,106157.0
12,2,39,3,75384.0
8,1,1,2,17063.0
13,3,20,2,200000.0
8,7,5,2,24420.0
8,1,1,2,6216.0
13,1,17,2,160000.0
13,3,5,2,110000.0
9,1,5,2,27750.0
9,1,5,0,27750.0
9,1,5,1,27750.0
9,1,5,4,27750.0
7,1,4,2,62712.0
4,1,6,2,63986.0
0,1,1,2,67940.0
12,1,15,2,125639.0
13,3,8,2,300000.0
13,1,6,2,300000.0
13,7,4,2,53000.0
8,3,10,2,110659.0
13,1,3,2,72000.0
2,1,21,0,101509.0
2,1,21,1,101509.0
2,1,21,4,101509.0
2,1,3,2,62467.0
13,1,3,2,50000.0
3,3,9,2,106644.0
13,1,5,2,1740000.0
2,1,27,2,54659.0
8,1,2,2,38388.0
12,3,4,2,60307.0
5,1,13,2,30948.0
13,1,5,2,262000.0
12,1,9,2,50256.0
2,1,4,2,58563.0
12,4,6,2,56538.0
8,3,11,2,50123.0
13,1,1,2,200000.0
12,4,28,2,113075.0
8,4,3,2,13128.0
